Drug,Severity,Reason
tiagabine,Moderate,
timolol,Moderate,
timothy grass pollen allergen extract,Moderate,
tiotropium,Moderate,
tirzepatide,Moderate,
tizanidine,Moderate,
tolazamide,Moderate,
tolazoline,Moderate,
tolbutamide,Moderate,
tolcapone,Moderate,
tolterodine,Moderate,
torsemide,Moderate,
tradipitant,Moderate,
trandolapril,Moderate,
triamterene,Moderate,
triazolam,Moderate,
trichlormethiazide,Moderate,
triclabendazole,Moderate,
trifluoperazine,Moderate,
triflupromazine,Moderate,
trihexyphenidyl,Moderate,
trimeprazine,Moderate,
trimethadione,Moderate,
trimethaphan camsylate,Moderate,
trimethobenzamide,Moderate,
trimipramine,Moderate,
tripelennamine,Moderate,
triprolidine,Moderate,
triptorelin,Moderate,
trospium,Moderate,
umeclidinium,Moderate,
valbenazine,Moderate,
valerian,Moderate,
valproic acid,Moderate,
valsartan,Moderate,
vardenafil,Moderate,
varenicline,Moderate,
vasopressin,Moderate,
verapamil,Moderate,
vigabatrin,Moderate,
viloxazine,Moderate,
voclosporin,Moderate,
voriconazole,Moderate,
warfarin,Moderate,
xylometazoline nasal,Moderate,
yohimbine,Moderate,
zaleplon,Moderate,
ziconotide,Moderate,
zolpidem,Moderate,
zuranolone,Moderate,
acetaminophen,Minor,
acetazolamide,Minor,
ammonium chloride,Minor,
chlorotrianisene,Minor,
cholestyramine,Minor,
conjugated estrogens,Minor,
conjugated estrogens topical,Minor,
dehydroepiandrosterone,Minor,
dienestrol topical,Minor,
diethylstilbestrol,Minor,
disulfiram,Minor,
esterified estrogens,Minor,
estradiol,Minor,
estradiol topical,Minor,
estramustine,Minor,
estriol topical,Minor,
estrone,Minor,
estropipate,Minor,
estropipate topical,Minor,
ethinyl estradiol,Minor,
evening primrose,Minor,
everolimus,Minor,
ipratropium nasal,Minor,
methyldopa,Minor,
niraparib,Minor,
quinestrol,Minor,
rifampin,Minor,
riluzole,Minor,
sulfamethoxazole,Minor,
